name,founded_year,country_code,state_code,zip_code,city,address1,address2,raised_amount
A & S Professional Security Services,1986,ZMB,CA,91724,Covina,"1706 E. Arrow Highway, #A",,0
A 4 Bandas Media,2009,ARG,,1642,Buenos Aires,Acassuso 483,,0
A Beautiful,2007,ZAF,,1332,Sidlamafa,P.o box 97,,0
A Better Opinion,2008,USA,CA,91423,Sherman Oaks,14320 Ventura Boulevard,#151,0
A Better Temporary,,USA,WA,98115,Seattle,6561 Phinney Ave N,Ste 217,0
A Bit Lucky,2009,USA,CA,94403,San Mateo,1700 S. Amphlett Blvd.,SUITE 220,7600000.0
A la Mobile,2005,USA,KS,94583,San Ramon,2603 Camino Ramon,Suite 200,7550000.0
A LITTLE WORLD,2000,IND,,400 025,Mumbai,"#10-11, Shubhada B-Wing","Sir Pochkhanwala Road, Worli",6410000.0
A Place for Mom,2000,USA,WA,98119,,,,0
A Small Orange,2003,USA,GA,30312 ,Atlanta,650 Hamilton Ave SE,Suite D,0
A Space Apart,2010,USA,IL,60606,Chicago,200 S Wacker,15th Floor,25000.0
A to Z Learning,1992,USA,TX,75240,Dallas,13601 Preston Rd,East Tower 250,0
A Unique Presentation,2008,USA,CA,90034,Los Angeles,3675 Dunn Drive,,0
A Vendre A Louer,1994,FRA,,75010 ,Paris,57 Boulevard de la Villette,,0
A&E Television Networks,1983,USA,NY,10017,New York,235 East 45th Street ,,0
A&G Pharmaceutical,,USA,MD,21045,Columbia,"9130 Red Branch Road, Suite U",,2000000.0
A&M Communications,1994,IND,,400064,"Malad West, Mumbai","Palm Court Bldg M, 501/B, 5th Floor","New Link Road, Besides Goregaon Sports Complex",0
A&M Entertainment,1997,USA,CA,90069,West Hollywood,8605 Santa Monica Blvd.,,0
A+ Ventures,2009,USA,NY,11101,New York,,,0
A-1 Technology,2001,USA,NY,10006,New York,115 Broadway,13th Floor,0
A-Claim,,USA,TX,75006,Carrollton,2828 E. Trinity Mills,Suite 315,0
A-COM Solutions,,AUS,,5070,Glynde ,Unit 3,18 Provident Ave,0
A-D Technologies,,USA,TN,37934,Knoxville,Suite 300,11400 Parkside Drive,0
A-Fontane Company,,BRN,,BB4713,Bandar Seri Begawan,"No. 23, Block B Bangunan Warisan P.H.N.","Simpang 68, Jalan Muara, Kampung Serusop",0
A-Gas,,GBR,,BS8 1EJ,Bristol,"Clifton Heights, Triangle West",,0
A-Life Medical,,USA,CA,92121,San Diego,6195 Lusk Boulevard,Suite 120,0
A-One Biz Solutions,,USA,FL,33029,Miramar,17397 SW 36 ST,  ,0
A-Power Energy Generation Systems,,CHN,,110021,Shenyang,No 44 Jingxing North Street Tiexi District,,10200000.0
A-T Solutions,2002,USA,VA,22408,Fredericksburg,11905 Bowman Drive,Suite 510,0
A-Z World Translation and Interpretation,,CAN,,V7R 2M1,N. Vancouver,704 Maurelle Court,,0
A. R. Communications,,BGD,,1217,Dhaka,"1/11, Iqbal Road, Asad Avenue,","Mohammedpur, ",0
A.G. Edwards & Sons,,USA,MO,63103,St. Louis,One North Jefferson,,0
A1 Security Cameras,2007,USA,TX,75208,Dallas,1214 W Davis St,,0
A1 Technologies,2009,GBR,,N10 3UA,London,12 Woodland Gardens,,0
A1-4 Electronics,,USA,NY,11206,Brooklyn, 581 Flushing Ave.,,0
A10 Networks,2004,USA,CA,95131,San Jose,2309 Bering Drive ,,38000000.0
A123 Systems,,USA,MA,02472,Watertown,321 Arsenal Street,,452860000.0
A1Vacations,,USA,VA,24101 ,Hardy,95 Westlake Rd.,Suite 205,0
A2 ltd,1997,USA,OH,43220,Columbus,2508 Summit St,,0
A2B Office Technology,1991,GBR,,BL8 9AP,Bury,PO Box 444,,0
A2Btransfers,2005,GBR,,GU21 5AH,Surrey,,,0
A2Btransfers.com,2005,GBR,,,,,,0
A2zdesignwork,2005,IND,,560095,Bangalore,8th Blok,Koramangala,0
A3 Technologies,2002,USA,NC,28227,Charlotte,2300 Sardis Road North,Suite Q,0
A9,2003,USA,CA,94301,Palo Alto,130 Lytton Ave,Suite 300,0
AA Investments,,BMU,,,,,,0
AAACBC,2006,PHL,,6000,Cebu,Ayala Life FGU Center,Cebu Business Park,0
AAF Consulting Group,2007,USA,DC,20005-6704,Washington,"1200 G Street, NW",Suite 800,0
AAfter Corporation,2005,USA,TX,75248,Dallas,"15950 Dallas Parkway, Suite 400",,0
AAIPharma Services,,USA,NC,28405 ,Wilmington,2320 Scientific Park Drive,,0
Aamcomp,1987,USA,OK,73114,Oklahoma City,10701 Broadway Ext. Service Rd,,0
AAPT,,AUS,,2000 ,Sydney NSW,680 George Street ,,0
Aardvark,2007,USA,CA,94110,San Francisco,,,6000000.0
Aardvark Media Limited,1996,GBR,,,London,,,0
Aaris Internet Solutions Pvt Ltd,2011,IND,,400053,Mumbai,"The Link, 2nd Floor,","Andheri Link Road, Andheri(w)",0
Aaromba Technologies,,AUS,,NSW 2060 ,North Sydney,"Level 6, 122 Walker Street,  ",,0
Aaron Clarke,2007,USA,NY,14094,Lockport,247 Market Street Suite 202,,0
aaTag,2010,BRA,,18087-170,Sorocaba,"Liverdade Avenue, 1701",,0
Aava Mobile,2009,FIN,,,,Nahkatehtaankatu 2,FI-90100 Oulu,4260000.0
AAyuja,2006,IND,,,Bangalore,,,0
Ab Initio,,USA,MA,02421,Lexington,201 Spring Street,,0
AB Tech Solution,2010,USA,MA,01886,Westford,,,0
Abacast,,USA,WA,98607,Camas,PO Box 518,,500000.0
Abaconda Management Group,2004,NZL,,3112,Tauranga,"556 Cameron Rd, Office 3",Tauranga South,0
Abacus EW Consultancy,,GBR,,LN5 0HU,Wellingore,6 The Stables,"Wellingore Hall, Hall Street",0
Abak Software,1997,CAN,,G2E 5E8,Quebec,203-1200 St-Jean-Baptiste,,0
Abakan,2006,USA,FL,33180,Miami,2829 Bird Avenue,,0
Abaq.us,2007,USA,CA,94085 ,Sunnyvale,440 N. Wolfe Rd,,0
Abaxia,2001,FRA,,92200,Neuilly sur Seine,40 rue Madeleine Michelis ,,1770000.0
abaXX Technology,1999,DEU,,70174,Stuttgart,Forststrasse 7,,4540000.0
Abazab,1997,USA,CA,95008,Campbell,1821 South Bascom Avenue,Suite 287,4100000.0
ABB,,CHE,,CH-8050,Zurich,Affolternstrasse 44,P.O. Box 8131,0
Abbey Business Centres,,GBR,,EC1A 4EN,London,16 St Martin's le Grand,,0
Abbott Labs,1991,USA,IL,60018-3315,Des Plaines,1300 East Touhy,,0
AbbysFunHouse.com,2009,USA,AL,36111-0586,Montgomery,P.O. Box 11586,2129 East South Blvd,0
