"","name","country_code","amount_raised","category_code","number_of_employees","founded_year"
"1","ClearPoint Metrics","USA",3800,"software","","1999"
"2","ClearRisk","CAN",1000,"web","15",""
"3","ClearSaleing","USA",3750,"advertising","","2006"
"9","Clearspring","USA",58000,"advertising","40","2004"
"14","Cleartrip ","IND",51000,"search","300","2006"
"20","Clearway Technology Partners","USA",730,"software","",""
"21","Clearwell Systems","USA",29000,"software","210","2004"
"22","Clearwire","USA",5620000,"mobile","","2003"
"24","Clerk","CHL",110,"software","6","2010"
"31","Clever Sense","USA",1000,"web","10","2008"
"35","Cleversafe","USA",36400,"software","","2004"
"36","CleverSet","USA",3600,"ecommerce","",""
"41","Clickatell","USA",12000,"public_relations","","2000"
"51","Click4Ride","USA",50,"enterprise","4","2011"
"52","Clickability","USA",11500,"enterprise","","1999"
"53","Clickable","USA",20500,"advertising","110","2006"
"55","ClickFuel","USA",5000,"advertising","20","2009"
"57","ClickingHouse","SGP",50,"other","2","2009"
"64","Clickpass","USA",20,"web","90","2007"
"67","Clicks2Customers","ZAF",3700,"web","60","2003"
"71","Clickshare Service Corp.","USA",3200,"web","","1994"
"72","ClickShift","USA",6000,"software","","2005"
"75","ClickSquared","USA",47710,"software","175","1999"
"76","Clickst","USA",500,"software","4","2010"
"79","ClickTale","ISR",3000,"web","","2006"
"95","ClientShow","USA",750,"public_relations","10","2008"
"98","Clifton","EST",2000,"semiconductor","20","2000"
"100","Clikthrough","USA",2000,"software","5","2007"
"118","Clinverse","USA",2200,"other","",""
"128","CLK Design Automation","USA",5610,"software","","2004"
"134","Cliqset","USA",2000,"web","5","2008"
"139","Cloakware","USA",10000,"software","","1997"
"144","Closely","USA",500,"advertising","7","2009"
"145","Closet Couture","USA",475,"ecommerce","4","2007"
"148","Cloud 9 Wireless","USA",1,"mobile","","2010"
"151","Cloud Sherpas","USA",2600,"software","45","2008"
"152","Cloud Engines","USA",21253.184,"public_relations","400","2010"
"162","Cloud Technology Partners","USA",1000,"consulting","5","2009"
"164","Cloud.com","USA",11000,"network_hosting","","2008"
"167","Cloud9 Analytics","USA",21600,"enterprise","40","2007"
"169","Cloudability","USA",150,"enterprise","3","2011"
"172","Cloudant","USA",1015,"network_hosting","6","2008"
"177","CloudCrowd","USA",5100,"other","12","2009"
"178","Cloudera","USA",36000,"enterprise","4","2008"
"179","CloudFab","USA",25,"ecommerce","2","2008"
"180","CloudFlare","USA",2050,"other","12","2009"
"181","CloudFloor","USA",3000,"software","",""
"185","Cloudkick","USA",2750,"software","15","2009"
"188","Cloudmark","USA",38500,"security","100","2001"
"191","CloudPassage","USA",6500,"security","10","2009"
"192","Cloudpic Global","SGP",6000,"software","",""
"198","CloudShare","USA",10000,"enterprise","","2007"
"200","CloudShield Technologies","USA",25000,"software","","2000"
"210","CloudTran","USA",600,"software","6","2011"
"216","Cloverleaf Communications","USA",11000,"public_relations","","2001"
"217","Clovis Oncology","USA",165000,"biotech","",""
"218","EngXi","USA",15,"web","5",""
"219","Clovr Media","USA",9800,"software","",""
"225","Club Point","ARG",100,"ecommerce","7","2010"
"238","Cluepedia","USA",430,"software","",""
"239","Clupedia","USA",1300,"network_hosting","","2000"
"241","ClusterSeven","GBR",7290,"software","","2003"
"242","Clustrix","USA",12000,"web","",""
"245","ClydeTec Systems","USA",35,"semiconductor","",""
"254","Cmed ","GBR",5000,"consulting","188","1999"
"260","CMOSIS nv","BEL",1175,"semiconductor","","2007"
"266","CMS Global Technologies","GBR",1030,"software","",""
"267","CmyCasa","USA",600,"software","15","2008"
"269","Cnano Technology","USA",6000,"other","",""
"281","COADE","USA",42000,"software","","1984"
"282","CoAdna Photonics","USA",2630,"hardware","",""
"285","Collarity","USA",10400,"advertising","30",""
"286","CoaLogix","USA",13350,"cleantech","",""
"288","CoalTek","USA",33000,"cleantech","",""
"289","Coapt Systems","USA",26320,"biotech","",""
"294","Coaxis","USA",10000,"software","","2004"
"296","Cobalt Technologies","USA",45000,"cleantech","",""
"302","Coco Communications","GBR",953.453,"consulting","",""
"303","Cocodot","USA",2000,"web","",""
"304","coComment","CHE",5600,"web","","2006"
"307","CoDa Therapeutics","USA",29200,"biotech","",""
"318","Code Green Networks","USA",34000.418,"software","","2004"
"329","Codefast","USA",6500,"software","","2004"
"331","Codemedia","BRA",60,"mobile","5","2009"
"335","CodeGlide","USA",500,"software","10","2007"
"336","CodeGuard","USA",500,"software","10","2010"
"343","Codenomicon","USA",3600,"security","50","2001"
"351","Codesion","USA",400,"software","12","2005"
"356","Codexis","USA",37000,"biotech","",""
"359","Codon Devices","USA",33000,"biotech","","2004"
"362","Collecta","USA",6580,"search","10","2008"
"366","CoFluent Design","FRA",2600,"software","20","2003"
"369","Cogency Software","USA",2500,"software","","1997"
"370","Cogenics","USA",4500,"biotech","","1992"
"372","Cogent Communications Group","USA",510,"network_hosting","","1999"
"376","Cogenta Systems","GBR",1340,"software","","2006"
"378","Cogentus Pharmaceuticals","USA",62500,"biotech","","2006"
"379","Coghead","USA",11200,"web","21","2003"
"381","Cogito","USA",11700,"software","","1994"
"382","Cognection","USA",25,"ecommerce","4","2010"
"383","Cogniscan","USA",500,"software","",""
"389","CogniFit","USA",5000,"web","15","1999"
"391","Cognio","USA",3000,"hardware","","2000"
"394","CogniTens","ISR",7000,"software","","1995"
"396","Cognition Technologies","USA",2700,"software","20","2003"
"397","Cognition Therapeutics","USA",6410,"biotech","",""
"400","Cognitive Match","GBR",10150,"enterprise","40","2009"
"411","Collax","DEU",8400,"software","","2005"
"414","Cohda Wireless","AUS",1800,"mobile","","2004"
"415","Cohera Medical","USA",41100,"biotech","",""
"417","Coherex Medical","USA",16500,"biotech","","2003"
"422","Cohuman","USA",1800,"software","9","2009"
"433","ColdLight Solutions","USA",1000,"software","10","2007"
"434","ColdSpark","USA",6500,"software","","2001"
"437","Coley Pharmaceutical Group","USA",10000,"biotech","","1997"
"440","Colizer","USA",120,"advertising","","2004"
"446","Collaborative Software Initiative","USA",1000,"enterprise","50","2007"
"449","Collactive","USA",2000,"web","",""
"453","Collective ","USA",20000,"advertising","160","2005"
"456","Collective Intellect","USA",13987.239,"enterprise","","2005"
"460","Collectric","SWE",287,"hardware","","2003"
"466","College Snack Attack","USA",20,"ecommerce","6","2010"
"467","College Tonight","USA",2244.5,"mobile","15",""
"473","CollegeFanz","USA",2500,"network_hosting","","2007"
"474","CollegeHumor","USA",20000,"games_video","","1999"
"480","CollegeWikis","USA",2000,"web","7",""
"481","Compliance 360","USA",2200,"software","","2000"
"483","Collexpo","USA",225,"ecommerce","4","2008"
"485","Collider Media","USA",2875.825,"advertising","","2009"
"487","Collplant","ISR",16300,"biotech","",""
"490","Color Labs","USA",41000,"web","","2010"
"491","Colubris Networks","USA",29000,"public_relations","","2000"
"492","TrialPay","USA",15800,"web","100","2006"
"501","COLOURlovers","USA",1000,"web","4","2005"
"508","Com2uS Corp.","USA",8000,"mobile","",""
"509","ComAbility","ISR",6000,"public_relations","","2003"
"510","ComActivity","SWE",2860,"software","","2001"
"514","Comat Technologies","IND",25000,"other","","1996"
"516","CombiMatrix","USA",6700,"biotech","",""
"518","Combinature Biopharm","DEU",5110,"biotech","","2000"
"519","CombineNet","USA",2120,"enterprise","","2000"
"520","Combinent Biomedical Systems","USA",1500,"biotech","",""
"524","combionic","DEU",1600,"software","","2007"
"534","Comeks","GIN",1000,"mobile","",""
"535","Conversocial","GBR",2400,"software","8","2009"
"537","CoMentis","USA",32000,"biotech","","2004"
"538","Comet Solutions","USA",7000,"software","","2001"
"541","Comfyware","ISR",1200,"other","","2003"
"542","Comic Wonder","USA",750,"web","","2007"
"549","Comixology","USA",150,"mobile","","2007"
"560","CommerceSimple","USA",685,"ecommerce","","2010"
"563","Commercetools","DEU",834,"software","","2006"
"566","Commex Technologies","ISR",11500,"enterprise","","2005"
"581","CommProve","IRL",18000,"enterprise","","1996"
"589","Communicado","USA",15600,"software","",""
"595","CommuniClique","USA",50,"software","25","2006"
"601","Community Energy","USA",4000,"cleantech","",""
"617","Company.com","USA",5665,"enterprise","","2010"
"619","CompanyLoop","USA",5000,"network_hosting","",""
"631","Competitive Power Ventures","USA",19460,"cleantech","",""
